,Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,lat,lon
1754,2245793,2022-03-02,California,Antioch,4325 Spaulding St,Mno Grant Elementary,0,0,0,0,1,,38.0049214,-121.805789
1755,2244462,2022-03-01,Texas,Colleyville,5401 Heritage Ave,Colleyville Heritage High School,0,0,0,0,2,,32.8809603,-97.155012
1756,2244265,2022-03-01,Florida,Land O Lakes (Land O' Lakes),5334 Parkway Blvd,Pine View Middle School,0,0,0,0,1,,28.3343,-82.3975305
1757,2245393,2022-02-28,California,Stockton,100 Doctor MLK Jr Blvd,Edison High School,0,0,0,0,1,,37.9577016,-121.2907796
1758,2243754,2022-02-28,North Carolina,Parkton,400 N Green St,Parkton Elementary School,0,0,0,0,0,,34.9026635,-79.0116971
1759,2243658,2022-02-28,Nevada,Reno,6055 Lancer St,Robert McQueen High School,0,0,0,0,1,,39.5261206,-119.8126581
1760,2243833,2022-02-28,New York,Brooklyn,1745 Fulton St,Boys and Girls High School,0,1,0,0,0,,40.6526006,-73.9497211
1761,2241994,2022-02-25,North Carolina,Charlotte,2219 Senior Dr,West Charlotte High School,0,0,0,0,0,,35.2272086,-80.8430827
1762,2241810,2022-02-25,Florida,Niceville,800 E John Sims Pkwy,Niceville High School,0,0,0,0,1,,30.5168639,-86.482172
1763,2242123,2022-02-25,Florida,Miami,10655 SW 97th Ave,Miami Killian Senior High School,0,0,0,0,2,,25.7741728,-80.19362
1764,2242146,2022-02-25,Texas,Denton,815 Cross Timber St,Fred Moore High School,0,0,0,0,0,,33.1838787,-97.1413417
1765,2242066,2022-02-25,Alabama,Huntsville,2755 Wilson Dr,Sonnie Hereford Elementary School,0,1,0,0,0,,34.729847,-86.5859011
1766,2244775,2022-02-24,Ohio,Columbus,1500 E Broad St,East High School,0,0,0,0,1,,39.9622601,-83.0007065
1767,2245160,2022-02-24,Wisconsin,Milwaukee,6215 W Warnimont Ave,Hamilton High School,0,0,0,0,1,,43.0349931,-87.922497
1768,2240447,2022-02-23,Ohio,Youngstown,2545 Erie St,Cardinal Mooney High School,0,0,0,0,1,,41.1035786,-80.6520161
1769,2241445,2022-02-23,Virginia,Woodbridge,3001 Old Bridge Rd,Woodbridge High School,0,0,0,0,0,,38.6361522,-77.26783643292558
1770,2240719,2022-02-23,North Carolina,Rocky Mount,1500 E Virginia St,Parker Middle School,0,0,0,0,2,,35.9423833,-77.7956949
1771,2242322,2022-02-23,Texas,San Antonio,500 W Formosa Blvd,Dillard McCollum High School,0,0,0,0,1,,29.4246002,-98.4951405
1772,2241276,2022-02-23,Florida,Naples,4911 20th Pl SW,Golden Gate Elementary,0,0,0,0,1,,26.1421976,-81.7942944
1773,2242251,2022-02-23,Illinois,Chicago,1434 N Parkside Ave,Ella Flagg Young Elementary School,0,0,0,0,0,,41.8755616,-87.6244212
1774,2240496,2022-02-23,Nevada,Carson City,1111 N Saliman Rd,Carson High School,0,0,0,0,1,,39.1698022,-119.7575628
1775,2239832,2022-02-22,South Carolina,Laurens,5058 Hwy 76 W,Laurens District 55 High School,0,0,0,0,1,,34.4646451,-81.9944042
1776,2239714,2022-02-22,Virginia,Roanoke,3649 Ferncliff Ave NW,William Fleming High School,0,0,0,0,0,,37.270973,-79.9414313
1777,2240232,2022-02-22,Maryland,Pomfret,7775 Marshall Corner Rd,Robert D. Stethem Educational Center,0,0,0,0,1,,38.5773417,-77.030531
1778,2239988,2022-02-22,Ohio,Dayton (Kettering),5030 Polen Dr,John F. Kennedy Elementary School,0,0,0,0,0,,39.6881876,-84.1358283
1779,2239948,2022-02-22,Colorado,Pueblo (Pueblo West),484 S Maher Dr,Liberty Point International Middle School,0,0,1,0,0,,38.322210850000005,-104.73888430751725
1780,2240712,2022-02-21,North Carolina,Greenville,3300 Briarcliff Dr,Lakeforest Elementary School,0,0,0,0,0,,35.613224,-77.3724593
1781,2239847,2022-02-20,South Carolina,Spartanburg,196 Wofford Campus Dr,Wofford College,0,0,0,0,0,,34.9498007,-81.9320157
1782,2240392,2022-02-19,Ohio,Hilliard,5100 Davidson Rd,Hilliard Davidson High School,0,0,0,0,0,,40.033814,-83.1596108
1783,2236873,2022-02-18,Massachusetts,Boston,95 G St,Excel High School,0,0,0,0,1,,42.3554334,-71.060511
1784,2236685,2022-02-18,South Carolina,Laurens,301 Henry St,Laurens Elementary School,0,0,0,0,0,,34.4646451,-81.9944042
1785,2237177,2022-02-18,Florida,Sanford,2701 Ridgewood Ave,Seminole High School,0,0,0,0,1,,28.8117345,-81.2680223
1786,2237479,2022-02-17,Florida,Miami Gardens,3101 NW 191st St,Brentwood Elementary,0,0,0,0,1,,25.9420377,-80.2456045
1787,2323853,2022-02-17,Texas,Corsicana,3701 E State Hwy 22,Corsicana High School,0,0,0,0,2,,32.091299,-96.4646821
1788,2236283,2022-02-17,Virginia,Richmond,6300 Hull Street Rd,River City Middle School,0,0,0,0,1,,37.5385087,-77.43428
1789,2236837,2022-02-17,Tennessee,Memphis,1363 E Person Ave,Hamilton High School,0,0,0,0,1,,35.1460249,-90.0517638
1790,2236030,2022-02-16,Texas,Mc Gregor (Mcgregor),903 Bluebonnet Pkwy,McGregor High School,0,0,0,0,0,,31.4410002,-97.4172349
1791,2235050,2022-02-16,Texas,Silsbee,1575 Hwy 96 N,Silsbee High School,0,0,0,0,0,,30.3490978,-94.1779626
1792,2234936,2022-02-16,California,Bakersfield,1241 G St,Bakersfield High School,0,0,0,0,1,,35.3738712,-119.0194639
1793,2235718,2022-02-16,Missouri,Saint Louis (Kirkwood),801 W Essex Ave,Kirkwood High School,0,0,0,0,1,,38.6027755,-90.4229946
1794,2235322,2022-02-15,California,Vacaville,1781 Marshall Rd,Notre Dame School,0,0,0,0,1,,38.3565773,-121.9877444
1795,2234434,2022-02-15,Texas,Fort Worth,3700 Mighty Mite Dr,Uplift Mighty Preparatory,0,0,0,0,0,,32.753177,-97.3327459
1796,2250086,2022-02-15,Florida,Cantonment,1771 Tate Rd,Tate High School,0,0,0,0,1,,30.605427,-87.344442
1797,2235642,2022-02-15,Maryland,Essex,501 Stemmers Run Rd,Kenwood High School,0,0,0,0,1,,39.3075071,-76.4790355
1798,2233939,2022-02-14,South Carolina,Columbia,7500 Brookfield Rd,Richland Northeast High School,0,0,0,0,1,,34.0374165,-80.82240445378864
1799,2234567,2022-02-12,New York,Corona (Queens),179-01 90th Ave,P.S. 95,0,0,0,0,0,,40.7469593,-73.8601456
1800,2231955,2022-02-11,District of Columbia,Washington,3400 Wheeler Rd SE,Eagle Academy,0,1,0,0,0,,38.8950368,-77.0365427
1801,2231904,2022-02-11,Tennessee,Shelbyville,3470 US-41A,Community Middle School,0,0,0,0,1,,35.483406,-86.4602717
1802,2354913,2022-02-11,New Mexico,Socorro,1200 Michigan Ave,Socorro High School,0,0,0,0,0,,34.0572858,-106.8930799
1803,2234316,2022-02-11,Florida,Daytona Beach,2700 N Oleander Ave,Seabreeze High School,0,0,0,0,1,,29.2108147,-81.0228331
